condition,B0,trial,children,per_child,total_spent_uc,overshoot
B_locked_asyncio,69,6,3,23,69,0
B_locked_asyncio,69,7,3,23,69,0
B_locked_asyncio,69,8,3,23,69,0
B_locked_asyncio,69,9,3,23,69,0
B_locked_asyncio,69,10,3,23,69,0
B_locked_asyncio,69,11,3,23,69,0
B_locked_asyncio,69,12,3,23,69,0
B_locked_asyncio,69,13,3,23,69,0
B_locked_asyncio,69,14,3,23,69,0
B_locked_asyncio,69,15,3,23,69,0
B_locked_asyncio,69,16,3,23,69,0
B_locked_asyncio,69,17,3,23,69,0
B_locked_asyncio,69,18,3,23,69,0
B_locked_asyncio,69,19,3,23,69,0
B_locked_asyncio,69,20,3,23,69,0
B_locked_asyncio,69,21,3,23,69,0
B_locked_asyncio,69,22,3,23,69,0
B_locked_asyncio,69,23,3,23,69,0
B_locked_asyncio,69,24,3,23,69,0
B_locked_asyncio,69,25,3,23,69,0
B_locked_asyncio,69,26,3,23,69,0
B_locked_asyncio,69,27,3,23,69,0
B_locked_asyncio,69,28,3,23,69,0
B_locked_asyncio,69,29,3,23,69,0
B_locked_asyncio,100,0,3,23,69,0
B_locked_asyncio,100,1,3,23,69,0
B_locked_asyncio,100,2,3,23,69,0
B_locked_asyncio,100,3,3,23,69,0
B_locked_asyncio,100,4,3,23,69,0
B_locked_asyncio,100,5,3,23,69,0
B_locked_asyncio,100,6,3,23,69,0
B_locked_asyncio,100,7,3,23,69,0
B_locked_asyncio,100,8,3,23,69,0
B_locked_asyncio,100,9,3,23,69,0
B_locked_asyncio,100,10,3,23,69,0
B_locked_asyncio,100,11,3,23,69,0
B_locked_asyncio,100,12,3,23,69,0
B_locked_asyncio,100,13,3,23,69,0
B_locked_asyncio,100,14,3,23,69,0
B_locked_asyncio,100,15,3,23,69,0
B_locked_asyncio,100,16,3,23,69,0
B_locked_asyncio,100,17,3,23,69,0
B_locked_asyncio,100,18,3,23,69,0
B_locked_asyncio,100,19,3,23,69,0
B_locked_asyncio,100,20,3,23,69,0
B_locked_asyncio,100,21,3,23,69,0
B_locked_asyncio,100,22,3,23,69,0
B_locked_asyncio,100,23,3,23,69,0
B_locked_asyncio,100,24,3,23,69,0
B_locked_asyncio,100,25,3,23,69,0
B_locked_asyncio,100,26,3,23,69,0
B_locked_asyncio,100,27,3,23,69,0
B_locked_asyncio,100,28,3,23,69,0
B_locked_asyncio,100,29,3,23,69,0
C_affine_split,50,0,3,23,0,0
C_affine_split,50,1,3,23,0,0
C_affine_split,50,2,3,23,0,0
C_affine_split,50,3,3,23,0,0
C_affine_split,50,4,3,23,0,0
C_affine_split,50,5,3,23,0,0
C_affine_split,50,6,3,23,0,0
C_affine_split,50,7,3,23,0,0
C_affine_split,50,8,3,23,0,0
C_affine_split,50,9,3,23,0,0
C_affine_split,50,10,3,23,0,0
C_affine_split,50,11,3,23,0,0
C_affine_split,50,12,3,23,0,0
C_affine_split,50,13,3,23,0,0
C_affine_split,50,14,3,23,0,0
C_affine_split,50,15,3,23,0,0
